fecha;serie_hidrologica;region_hidrologica;aporte_hidrico
2023-01-01;BOCATENC;Antioquia;1141600
2023-01-01;CLLRPORC;Antioquia;4796900
2023-01-01;DESVIEPM;Antioquia;2229200
2023-01-01;ITUACAUC;Antioquia;36533400
2023-01-01;MIRFTENC;Antioquia;571800
2023-01-01;PENONARE;Antioquia;11776600
2023-01-01;PLAYGUAT;Antioquia;3588900
2023-01-01;PP-2POR1;Antioquia;5116400
2023-01-01;PP-3PORC;Antioquia;455900
2023-01-01;PUNCGUAT;Antioquia;3362300
2023-01-01;QUBRRGRD;Antioquia;54700
2023-01-01;RGR2RGRD;Antioquia;7306800
2023-01-01;SLORNARE;Antioquia;4721000
2023-01-01;SMIGCALD;Antioquia;1042300
2023-01-01;TRONGUAD;Antioquia;3363300
2023-01-01;DESVGUAR;Caldas;28800
2023-01-01;DESVMANS;Caldas;105300
2023-01-01;PTEHMIEL;Caldas;4708300
2023-01-01;URR1SINU;Caribe;2131100
2023-01-01;ALICBOGO;Centro;5295500
2023-01-01;AMOYAMOY;Centro;840000
2023-01-01;BETAMAG1;Centro;1706300
2023-01-01;CUCUCUCU;Centro;459600
2023-01-01;DESVSMAR;Centro;142700
2023-01-01;EMBAPRAD;Centro;808000
2023-01-01;QUIMMAGD;Centro;5224800
2023-01-01;SOGASOGA;Centro;7233600
2023-01-01;DESVBATA;Oriente;31100
2023-01-01;DESVCHIV;Oriente;317500
2023-01-01;EMBACHUZ;Oriente;4141900
2023-01-01;EMBAGUAV;Oriente;2617600
2023-01-01;ESMEBATA;Oriente;2651100
2023-01-01;ALTOANCH;Valle;5020600
2023-01-01;BAJOANCH;Valle;453900
2023-01-01;CAL1CALM;Valle;607200
2023-01-01;FLR2CAUC;Valle;215000
2023-01-01;SALVCAUC;Valle;12101400
2023-01-02;BOCATENC;Antioquia;1142100
2023-01-02;CLLRPORC;Antioquia;4293100
2023-01-02;DESVIEPM;Antioquia;2221400
2023-01-02;ITUACAUC;Antioquia;41812300
2023-01-02;MIRFTENC;Antioquia;1054400
2023-01-02;PENONARE;Antioquia;12531600
2023-01-02;PLAYGUAT;Antioquia;5799300
2023-01-02;PP-2POR1;Antioquia;5387800
2023-01-02;PP-3PORC;Antioquia;2627700
2023-01-02;PUNCGUAT;Antioquia;3346800
2023-01-02;QUBRRGRD;Antioquia;60700
2023-01-02;RGR2RGRD;Antioquia;8101800
